,시도코드,시도명,시군구명,인당시설수,인당시설수순위,양호시설비율,주의필요시설비율,2019비만유병률_표준화율 (%),2019걷기실천율_표준화율 (%),2019스트레스인지율_표준화율 (%),2019연간체중조절시도율_표준화율 (%),2019중증도이상신체활동실천율_표준화율 (%),주거지역,상업지역,공업지역,녹지지역,수도권여부,y,grade
206,37410,경상북도,봉화군,0.000511,140.9,0.9565217391304348,0.0434782608695652,34.6,29.2,24.6,60.0,27.5,18.05,2.24,2.65,77.07,비수도권,52.2,B
207,37420,경상북도,울진군,0.000154,115.2,0.0,1.0,37.3,29.4,20.0,64.6,18.8,12.86,1.75,9.38,70.37,비수도권,58.5,A
208,37430,경상북도,울릉군,0.000272,86.8,1.0,0.0,31.2,15.9,18.1,58.3,11.4,7.8,1.38,1.54,86.8,비수도권,38.6,D
209,38030,경상남도,진주시,9.1e-05,129.5,0.9620253164556962,0.0379746835443038,33.9,33.6,25.2,64.6,16.6,7.06,1.14,2.05,89.74,비수도권,51.1,B
210,38050,경상남도,통영시,0.000364,58.1,0.9047619047619048,0.0952380952380952,32.8,67.6,32.3,70.3,45.3,16.83,1.96,9.95,66.74,비수도권,66.4,A
211,38060,경상남도,사천시,0.000146,74.9,1.0,0.0,32.8,17.8,10.0,42.1,25.6,12.67,1.41,11.9,72.39,비수도권,46.1,B
212,38070,경상남도,김해시,0.0001,124.6,0.9320388349514565,0.0679611650485436,33.3,25.8,27.1,67.5,27.9,13.59,1.59,6.56,78.19,비수도권,53.4,B
213,38080,경상남도,밀양시,0.000257,138.2,0.9210526315789472,0.0789473684210526,30.9,48.2,17.4,41.8,23.0,16.16,1.39,7.98,74.47,비수도권,56.0,A
214,38090,경상남도,거제시,0.0001109999999999,98.9,0.9019607843137256,0.0980392156862745,38.1,45.2,20.7,68.4,35.1,13.69,1.97,8.5,63.72,비수도권,57.8,A
215,38100,경상남도,양산시,0.000146,94.6,0.9682539682539684,0.0317460317460317,38.1,32.1,22.1,65.5,22.6,9.4,0.92,5.43,84.25,비수도권,54.5,B
216,38110,경상남도,창원시,9.3e-05,121.6,0.9478672985781992,0.0521327014218009,33.3,38.6,25.4,66.9,24.9,10.07,1.77,7.12,60.31,비수도권,53.7,B
217,38310,경상남도,의령군,0.000614,97.5,1.0,0.0,34.8,20.2,22.6,54.0,15.2,16.51,1.42,7.94,74.13,비수도권,50.2,B
218,38320,경상남도,함안군,0.00019,85.7,0.8767123287671232,0.1232876712328767,36.2,41.2,22.9,68.4,41.5,11.67,1.22,18.42,68.69,비수도권,56.8,A
219,38330,경상남도,창녕군,0.000101,118.0,0.7142857142857143,0.2857142857142857,38.3,49.6,18.2,73.3,41.5,11.73,1.26,8.18,78.83,비수도권,70.3,A
220,38340,경상남도,고성군,0.000205,92.6,0.9545454545454546,0.0454545454545454,32.6,32.1,17.2,50.4,25.4,11.94,0.79,26.97,56.15,비수도권,50.3,B
221,38350,경상남도,남해군,0.0004219999999999,105.7,0.9411764705882352,0.0588235294117647,37.2,28.4,19.7,61.5,34.1,10.66,1.56,0.0,87.78,비수도권,47.6,B
222,38360,경상남도,하동군,9.9e-05,106.7,0.9166666666666666,0.0833333333333333,34.7,28.1,21.1,61.2,37.4,10.82,3.08,48.24,37.87,비수도권,41.6,C
223,38370,경상남도,산청군,0.000146,84.5,1.0,0.0,33.1,19.2,15.4,51.8,30.7,19.64,2.29,3.49,61.39,비수도권,55.3,A
224,38380,경상남도,함양군,0.000168,101.5,0.9642857142857144,0.0357142857142857,34.9,17.9,23.4,52.5,20.1,12.33,1.57,3.98,82.12,비수도권,57.2,A
225,38390,경상남도,거창군,0.00024,105.8,0.9285714285714286,0.0714285714285714,33.8,24.7,27.8,55.9,26.6,15.28,1.09,3.98,79.65,비수도권,56.2,A
226,38400,경상남도,합천군,0.000287,91.9,1.0,0.0,30.2,25.1,19.5,52.1,15.7,14.54,1.29,0.0,84.17,비수도권,42.9,C
227,39010,제주특별자치도,제주시,0.000137,99.1,0.9476744186046512,0.0523255813953488,38.1,37.5,23.1,63.4,23.7,12.82,1.83,1.53,79.81,비수도권,61.3,A
228,39020,제주특별자치도,서귀포시,0.000169,99.2,0.8816568047337278,0.1183431952662721,39.9,21.6,23.7,57.3,27.5,9.91,1.02,0.78,85.39,비수도권,55.4,A
